game_name,condition_label,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,agent_1_mean_overall_state,agent_2_mean_overall_state,game_metric_name,game_metric_value
Prisoners Dilemma,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,896.55,441.15,455.4,-1.01270605655854,-0.9942141351090332,mutual cooperation rate,0.24925
Prisoners Dilemma,hybrid-neutral-neutral__vs__rational,832.75,313.5,519.25,-1.0079590903357287,-0.2274687350513,mutual cooperation rate,0.15675
Prisoners Dilemma,rational__vs__rational,734.25,372.75,361.5,-0.111149394938906,-0.0918896089961976,mutual cooperation rate,0.1105
Prisoners Dilemma,emotional-neutral-neutral__vs__rational,830.35,327.8,502.55,-0.8091295397154494,-0.1897805100667255,mutual cooperation rate,0.159
Prisoners Dilemma,fixed-tit_for_tat__vs__fixed-tit_for_tat,1200.0,600.0,600.0,-0.7502776120618052,-0.6943944835878275,mutual cooperation rate,1.0
Battle of Sexes,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,492.0,245.15,246.85,-1.1034826895155876,-1.0580287003391249,agreement rate,0.492
Battle of Sexes,hybrid-neutral-neutral__vs__rational,477.25,226.05,251.2,-1.0719937133917967,-0.3883195669516744,agreement rate,0.47725
Battle of Sexes,rational__vs__rational,550.75,265.2,285.55,-0.4086493157594385,-0.3899245298167302,agreement rate,0.55075
Battle of Sexes,emotional-neutral-neutral__vs__rational,509.0,243.55,265.45,-0.7981163004790454,-0.3747116020780494,agreement rate,0.509
Battle of Sexes,fixed-tit_for_tat__vs__fixed-tit_for_tat,1000.0,600.0,400.0,-0.8497776120618052,-0.7918144835878277,agreement rate,0.0
Ultimatum Game,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,697.5,341.75,355.75,-1.0478423482384256,-1.021624596763815,acceptance rate / mean offer,0.34875 / 5.385484597816263
Ultimatum Game,hybrid-neutral-neutral__vs__rational,1183.0,572.0575,610.9425,-1.071295196202788,-0.1755960793851625,acceptance rate / mean offer,0.5915 / 5.433613172814509
Ultimatum Game,rational__vs__rational,1162.5,591.5224999999999,570.9775,-0.1699535347948974,-0.1673417109195902,acceptance rate / mean offer,0.58125 / 5.08537772851627
Ultimatum Game,emotional-neutral-neutral__vs__rational,1144.0,550.4875000000001,593.5124999999999,-0.7996298123711756,-0.1925650381756211,acceptance rate / mean offer,0.5720000000000001 / 5.638919480345601
Ultimatum Game,fixed-tit_for_tat__vs__fixed-tit_for_tat,0.0,0.0,0.0,-0.7084358949323293,-0.7216747732925979,acceptance rate / mean offer,0.0 / 0.0
