scenario_name,game_name,run_profile,model_mode,condition_label,episodes_n,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,agent_1_mean_overall_state,agent_2_mean_overall_state,agent_1_negative_state_share,agent_2_negative_state_share,game_metric_name,game_metric_value,interpretation_guardrail,official_run_dir,pair_state_mean,mean_negative_state_share,main_game_metric
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__rational,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6126680654971068,0.985,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__hybrid-neutral-neutral,20,409.0,212.0,197.0,-0.5962267386862736,-0.6291093923079399,0.97,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6126680654971068,0.985,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__rational,20,400.0,200.0,200.0,-0.6228399686098542,-0.6228399686098542,1.0,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6228399686098542,1.0,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__emotional-neutral-neutral,20,415.0,220.0,195.0,-0.5780051793583433,-0.6329571129609495,0.95,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6054811461596463,0.975,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__fixed-tit_for_tat,20,403.0,204.0,199.0,-0.6140897775425893,-0.6249801626854559,0.99,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6195349701140226,0.995,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,emotional-neutral-neutral__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,emotional-neutral-neutral__vs__rational,20,415.0,195.0,220.0,-0.6329571129609495,-0.5780051793583433,1.0,0.95,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6054811461596463,0.975,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,emotional-neutral-neutral__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,emotional-neutral-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,fixed-tit_for_tat__vs__hybrid-neutral-neutral,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,fixed-tit_for_tat__vs__rational,20,403.0,199.0,204.0,-0.6249801626854559,-0.6140897775425893,1.0,0.99,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6195349701140226,0.995,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,fixed-tit_for_tat__vs__emotional-neutral-neutral,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,fixed-tit_for_tat__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.2405972911312445,0.2405972911312445,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0,1.0
S1,Battle of Sexes,paper,reported_runs_compat,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,hybrid-neutral-neutral__vs__rational,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,hybrid-neutral-neutral__vs__emotional-neutral-neutral,20,570.25,342.15,228.1,-0.1793279128137409,-0.4531683143237816,0.4405,1.0,agreement rate,0.57025,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.31624811356876126,0.7202500000000001,0.57025
S1,Battle of Sexes,paper,reported_runs_compat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,20,1000.0,600.0,400.0,0.2405972911312445,-0.2405972911312447,0.0,1.0,agreement rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-9.71445146547012e-17,0.5,1.0
S1,Battle of Sexes,paper,reported_runs_compat,rational__vs__hybrid-neutral-neutral,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,rational__vs__rational,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,rational__vs__emotional-neutral-neutral,20,570.25,342.15,228.1,-0.1793279128137409,-0.4531683143237816,0.4405,1.0,agreement rate,0.57025,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.31624811356876126,0.7202500000000001,0.57025
S1,Battle of Sexes,paper,reported_runs_compat,rational__vs__fixed-tit_for_tat,20,1000.0,600.0,400.0,0.2405972911312445,-0.2405972911312447,0.0,1.0,agreement rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-9.71445146547012e-17,0.5,1.0
S1,Battle of Sexes,paper,reported_runs_compat,emotional-neutral-neutral__vs__hybrid-neutral-neutral,20,206.5,82.6,123.9,-0.6333747621920869,-0.5379498701138428,1.0,0.80975,agreement rate,0.2065,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.5856623161529648,0.904875,0.2065
S1,Battle of Sexes,paper,reported_runs_compat,emotional-neutral-neutral__vs__rational,20,206.5,82.6,123.9,-0.6333747621920869,-0.5379498701138428,1.0,0.80975,agreement rate,0.2065,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.5856623161529648,0.904875,0.2065
S1,Battle of Sexes,paper,reported_runs_compat,emotional-neutral-neutral__vs__emotional-neutral-neutral,20,395.25,217.4,177.85,-0.4112196627849675,-0.509673933389718,0.7205,0.9455,agreement rate,0.39525,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.4604467980873428,0.833,0.39525
S1,Battle of Sexes,paper,reported_runs_compat,emotional-neutral-neutral__vs__fixed-tit_for_tat,20,961.0,527.4,433.6,0.0660243695792179,-0.156474375735921,0.32025,0.77725,agreement rate,0.961,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.04522500307835155,0.54875,0.961
S1,Battle of Sexes,paper,reported_runs_compat,fixed-tit_for_tat__vs__hybrid-neutral-neutral,20,995.0,398.0,597.0,-0.2457639402041183,0.232847317521934,1.0,0.02,agreement rate,0.995,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.006458311341092149,0.51,0.995
S1,Battle of Sexes,paper,reported_runs_compat,fixed-tit_for_tat__vs__rational,20,995.0,398.0,597.0,-0.2457639402041183,0.232847317521934,1.0,0.02,agreement rate,0.995,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.006458311341092149,0.51,0.995
S1,Battle of Sexes,paper,reported_runs_compat,fixed-tit_for_tat__vs__emotional-neutral-neutral,20,979.0,518.8,460.2,0.0454146336676081,-0.0994331376122326,0.3855,0.68825,agreement rate,0.979,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.027009251972312253,0.536875,0.979
