model_mode,profile,intensity,conditions_n,pair_total_payoff_mean,agent_1_mean_overall_state,agent_1_negative_state_share,main_game_metric
integrated_model,neutral,high,3,942.3333333333334,0.020466514080746772,0.4133333333333334,0.6666666666666666
integrated_model,neutral,low,3,956.3333333333334,0.08474024129269203,0.3333333333333333,0.6666666666666666
integrated_model,neutral,neutral,3,947.3333333333334,0.0575595179042678,0.3333333333333333,0.6666666666666666
integrated_model,optimistic,high,3,942.3333333333334,0.020466514080746772,0.4133333333333334,0.6666666666666666
integrated_model,optimistic,low,3,956.3333333333334,0.08474024129269203,0.3333333333333333,0.6666666666666666
integrated_model,optimistic,neutral,3,947.3333333333334,0.0575595179042678,0.3333333333333333,0.6666666666666666
integrated_model,pessimistic,high,3,946.3333333333334,0.013881267038195163,0.4133333333333334,0.6666666666666666
integrated_model,pessimistic,low,3,956.3333333333334,0.08474024129269203,0.3333333333333333,0.6666666666666666
integrated_model,pessimistic,neutral,3,947.3333333333334,0.0575595179042678,0.3333333333333333,0.6666666666666666
reported_runs_compat,neutral,high,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,neutral,low,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,neutral,neutral,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,optimistic,high,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,optimistic,low,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,optimistic,neutral,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,pessimistic,high,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,pessimistic,low,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
reported_runs_compat,pessimistic,neutral,3,936.3333333333334,-0.04930493668181698,0.3333333333333333,0.6666666666666666
