scenario_name,game_name,run_profile,model_mode,condition_label,episodes_n,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,agent_1_mean_overall_state,agent_2_mean_overall_state,agent_1_negative_state_share,agent_2_negative_state_share,game_metric_name,game_metric_value,interpretation_guardrail,official_run_dir,pair_state_mean,mean_negative_state_share,main_game_metric
S1,Battle of Sexes,paper,integrated_model,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,275.5,151.1,124.4,-0.8230553006326206,-0.8801997807870447,1.0,1.0,agreement rate,0.2755,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.8516275407098326,1.0,0.2755
S1,Prisoners Dilemma,paper,integrated_model,rational__vs__emotional-neutral-neutral,20,643.0,524.0,119.0,-0.4644923791770598,-1.0426321615990903,0.825,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.7535622703880751,0.9125,0.0
S1,Prisoners Dilemma,paper,integrated_model,emotional-neutral-neutral__vs__rational,20,643.0,119.0,524.0,-1.0426321615990903,-0.4644923791770598,1.0,0.825,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.7535622703880751,0.9125,0.0
S1,Battle of Sexes,paper,integrated_model,rational__vs__hybrid-neutral-neutral,20,228.75,137.25,91.5,-0.6217546175346007,-0.8621164644943715,0.98525,1.0,agreement rate,0.22875,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.7419355410144861,0.992625,0.22875
S1,Battle of Sexes,paper,integrated_model,hybrid-neutral-neutral__vs__rational,20,87.5,35.0,52.5,-0.7596275226015693,-0.5088158978137224,1.0,0.9925,agreement rate,0.0875,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.6342217102076458,0.9962500000000001,0.0875
S1,Battle of Sexes,paper,integrated_model,rational__vs__rational,20,0.0,0.0,0.0,-0.4616232079929975,-0.4616232079929975,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.4616232079929975,1.0,0.0
S1,Battle of Sexes,paper,integrated_model,emotional-neutral-neutral__vs__hybrid-neutral-neutral,20,453.0,217.25,235.75,-0.3902306598779609,-0.4717004077582805,0.753,0.751,agreement rate,0.453,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.4309655338181207,0.752,0.453
S1,Battle of Sexes,paper,integrated_model,emotional-neutral-neutral__vs__rational,20,260.0,104.0,156.0,-0.411611371359416,-0.1572018917969994,0.761,0.75025,agreement rate,0.26,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.28440663157820767,0.755625,0.26
S1,Prisoners Dilemma,paper,integrated_model,hybrid-neutral-neutral__vs__rational,20,442.0,186.0,256.0,-0.3885478976043458,-0.1302523293795577,1.0,0.495,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.25940011349195174,0.7475,0.0
S1,Prisoners Dilemma,paper,integrated_model,rational__vs__hybrid-neutral-neutral,20,442.0,256.0,186.0,-0.1302523293795577,-0.3885478976043458,0.495,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_173035_paper_S1_integrated_model,-0.25940011349195174,0.7475,0.0
S1,Battle of Sexes,paper,reported_runs_compat,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,hybrid-neutral-neutral__vs__rational,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,rational__vs__hybrid-neutral-neutral,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Battle of Sexes,paper,reported_runs_compat,rational__vs__rational,20,0.0,0.0,0.0,-0.7323522749348269,-0.7323522749348269,1.0,1.0,agreement rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.7323522749348269,1.0,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__rational,20,400.0,200.0,200.0,-0.6228399686098542,-0.6228399686098542,1.0,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6228399686098542,1.0,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__fixed-tit_for_tat,20,403.0,204.0,199.0,-0.6140897775425893,-0.6249801626854559,0.99,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6195349701140226,0.995,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,fixed-tit_for_tat__vs__rational,20,403.0,199.0,204.0,-0.6249801626854559,-0.6140897775425893,1.0,0.99,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6195349701140226,0.995,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__rational,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6126680654971068,0.985,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__hybrid-neutral-neutral,20,409.0,212.0,197.0,-0.5962267386862736,-0.6291093923079399,0.97,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6126680654971068,0.985,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,rational__vs__emotional-neutral-neutral,20,415.0,220.0,195.0,-0.5780051793583433,-0.6329571129609495,0.95,1.0,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.,20260521_163020_paper_S1_reported_runs_compat,-0.6054811461596463,0.975,0.0
