scenario_name,game_name,condition_label,mean_negative_state_share_integrated_model,mean_negative_state_share_reported_runs_compat,pair_state_mean_integrated_model,pair_state_mean_reported_runs_compat,pair_total_payoff_mean_integrated_model,pair_total_payoff_mean_reported_runs_compat,delta_pair_state_integrated_minus_reported,delta_payoff_integrated_minus_reported,delta_negative_share_integrated_minus_reported
S1,Battle of Sexes,emotional-neutral-neutral__vs__emotional-neutral-neutral,0.557625,0.833,-0.1919904890834132,-0.4604467980873428,536.75,395.25,0.2684563090039296,141.5,-0.2753749999999999
S1,Battle of Sexes,emotional-neutral-neutral__vs__fixed-tit_for_tat,0.062625,0.54875,0.654343639889136,-0.04522500307835155,951.0,961.0,0.6995686429674876,-10.0,-0.486125
S1,Battle of Sexes,emotional-neutral-neutral__vs__hybrid-neutral-neutral,0.752,0.904875,-0.4309655338181207,-0.5856623161529648,453.0,206.5,0.15469678233484413,246.5,-0.15287499999999998
S1,Battle of Sexes,emotional-neutral-neutral__vs__rational,0.755625,0.904875,-0.28440663157820767,-0.5856623161529648,260.0,206.5,0.30125568457475715,53.5,-0.14925
S1,Battle of Sexes,fixed-tit_for_tat__vs__emotional-neutral-neutral,0.02962499999999995,0.536875,0.7287549588763202,-0.027009251972312253,977.5,979.0,0.7557642108486325,-1.5,-0.5072500000000001
S1,Battle of Sexes,fixed-tit_for_tat__vs__fixed-tit_for_tat,0.0,0.5,0.8348235647403155,-9.71445146547012e-17,1000.0,1000.0,0.8348235647403156,0.0,-0.5
S1,Battle of Sexes,fixed-tit_for_tat__vs__hybrid-neutral-neutral,0.005,0.51,0.7220224800979609,-0.006458311341092149,995.0,995.0,0.728480791439053,0.0,-0.505
S1,Battle of Sexes,fixed-tit_for_tat__vs__rational,0.005,0.51,0.8261427980481192,-0.006458311341092149,995.0,995.0,0.8326011093892114,0.0,-0.505
S1,Battle of Sexes,hybrid-neutral-neutral__vs__emotional-neutral-neutral,0.35462499999999997,0.7202500000000001,0.1862119226506074,-0.31624811356876126,700.75,570.25,0.5024600362193686,130.5,-0.3656250000000001
S1,Battle of Sexes,hybrid-neutral-neutral__vs__fixed-tit_for_tat,0.0,0.5,0.7558679426275523,-9.71445146547012e-17,1000.0,1000.0,0.7558679426275524,0.0,-0.5
