model_mode,condition_label,fixed_strategy_2,metric_name,first_third_metric,last_third_metric,delta_metric,first_third_payoff_1,last_third_payoff_1,delta_payoff_1,episodes_n
integrated_model,emotional-neutral-neutral__vs__fixed-always_cooperate,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
integrated_model,emotional-neutral-neutral__vs__fixed-always_defect,always_defect,cooperation_flag_1,0.3787878787878788,0.4242424242424242,0.0454545454545454,41.0,38.0,-3.0,20
integrated_model,emotional-neutral-neutral__vs__fixed-tit_for_tat,tit_for_tat,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
integrated_model,hybrid-neutral-neutral__vs__fixed-always_cooperate,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
integrated_model,hybrid-neutral-neutral__vs__fixed-always_defect,always_defect,cooperation_flag_1,0.1818181818181818,0.030303030303030297,-0.1515151515151515,54.0,64.0,10.0,20
integrated_model,hybrid-neutral-neutral__vs__fixed-tit_for_tat,tit_for_tat,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
integrated_model,rational__vs__fixed-always_cooperate,always_cooperate,cooperation_flag_1,0.0,0.0,0.0,330.0,330.0,0.0,20
integrated_model,rational__vs__fixed-always_defect,always_defect,cooperation_flag_1,0.0,0.0,0.0,66.0,66.0,0.0,20
integrated_model,rational__vs__fixed-tit_for_tat,tit_for_tat,cooperation_flag_1,0.0,0.0,0.0,70.0,66.0,-4.0,20
reported_runs_compat,emotional-neutral-neutral__vs__fixed-always_cooperate,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
reported_runs_compat,emotional-neutral-neutral__vs__fixed-always_defect,always_defect,cooperation_flag_1,0.0757575757575757,0.0,-0.0757575757575757,61.0,66.0,5.0,20
reported_runs_compat,emotional-neutral-neutral__vs__fixed-tit_for_tat,tit_for_tat,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
reported_runs_compat,hybrid-neutral-neutral__vs__fixed-always_cooperate,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
reported_runs_compat,hybrid-neutral-neutral__vs__fixed-always_defect,always_defect,cooperation_flag_1,0.0454545454545454,0.0,-0.0454545454545454,63.0,66.0,3.0,20
reported_runs_compat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,tit_for_tat,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,20
reported_runs_compat,rational__vs__fixed-always_cooperate,always_cooperate,cooperation_flag_1,0.0,0.0,0.0,330.0,330.0,0.0,20
reported_runs_compat,rational__vs__fixed-always_defect,always_defect,cooperation_flag_1,0.0,0.0,0.0,66.0,66.0,0.0,20
reported_runs_compat,rational__vs__fixed-tit_for_tat,tit_for_tat,cooperation_flag_1,0.0,0.0,0.0,70.0,66.0,-4.0,20
