model_mode,profile,intensity,fixed_partner,condition_label,pair_total_payoff_mean,agent_1_mean_overall_state,agent_1_negative_state_share,main_game_metric
reported_runs_compat,optimistic,low,always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,optimistic,low,always_defect,hybrid-optimistic-low__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,optimistic,low,tit_for_tat,hybrid-optimistic-low__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,optimistic,neutral,always_cooperate,hybrid-optimistic-neutral__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,optimistic,neutral,always_defect,hybrid-optimistic-neutral__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,optimistic,neutral,tit_for_tat,hybrid-optimistic-neutral__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,optimistic,high,always_cooperate,hybrid-optimistic-high__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,optimistic,high,always_defect,hybrid-optimistic-high__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,optimistic,high,tit_for_tat,hybrid-optimistic-high__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,neutral,low,always_cooperate,hybrid-neutral-low__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,neutral,low,always_defect,hybrid-neutral-low__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,neutral,low,tit_for_tat,hybrid-neutral-low__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,neutral,neutral,always_cooperate,hybrid-neutral-neutral__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,neutral,neutral,always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,neutral,neutral,tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,neutral,high,always_cooperate,hybrid-neutral-high__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,neutral,high,always_defect,hybrid-neutral-high__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,neutral,high,tit_for_tat,hybrid-neutral-high__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,pessimistic,low,always_cooperate,hybrid-pessimistic-low__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,pessimistic,low,always_defect,hybrid-pessimistic-low__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
reported_runs_compat,pessimistic,low,tit_for_tat,hybrid-pessimistic-low__vs__fixed-tit_for_tat,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,pessimistic,neutral,always_cooperate,hybrid-pessimistic-neutral__vs__fixed-always_cooperate,1200.0,0.2405972911312445,0.0,1.0
reported_runs_compat,pessimistic,neutral,always_defect,hybrid-pessimistic-neutral__vs__fixed-always_defect,409.0,-0.6291093923079399,1.0,0.0
